         225759 function calls (216231 primitive calls) in 6.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       94    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:262(do_copy)
      140    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      137    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:311(_acquire_restore)
      426    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:872(i2h)
       66    0.000    0.000    0.000    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:620(identify_file_signature)
      213    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:932(i2h)
    98/34    0.002    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\queue.py:154(get)
     3106    0.000    0.000    0.000    0.000 {built-in method math.log2}
      724    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\config.py:1121(__getattribute__)
     2686    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1315(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2396(readprofile)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:332(decode)
       34    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_utils.py:139(get_non_pydevd_threads)
       72    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\l2.py:299(dispatch_hook)
        2    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:780(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1080(__init__)
       71    0.000    0.000    0.000    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:390(decode_ip_flags)
     1655    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2718(__init__)
      934    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     1598    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     2087    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:368(get_field)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       83    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3131(copy)
